name,accessibility,district
合肥高新区南岗社区卫生服务中心,正常可达,蜀山区
合肥中医推拿医院,可达但受限,庐阳区
锦绣天都社区卫生服务站,正常可达,蜀山区
安徽中医药大学第一附属医院检验中心,正常可达,蜀山区
合肥龙华医院,不可达,庐阳区
安徽三联学院南区校医院,正常可达,肥西县
合肥高新区杨林社区卫生服务站,正常可达,蜀山区
安徽庐州医院四季青分院,正常可达,庐阳区
同安街道分路口社区卫生服务站,正常可达,包河区
胜利明光街道社区卫生服务中心,不可达,瑶海区
包公街道河滨社区卫生服务站,正常可达,包河区
庐阳区大杨镇社区卫生服务中心,不可达,庐阳区
安徽医科大学第一附属医院高新院区医技楼,正常可达,蜀山区
合肥东南中医院,正常可达,蜀山区
瑶海区城东街道社区卫生服务中心,不可达,瑶海区
庐阳区杏林街道社区卫生服务中心,不可达,庐阳区
琥珀社区医疗服务中心,正常可达,蜀山区
同安街道王大郢社区卫生服务站,正常可达,包河区
合肥博极医院,可达但受限,庐阳区
大杨镇夹塘社区卫生服务站,不可达,庐阳区
同安街道周谷堆社区卫生服务站,正常可达,包河区
瑶海区胜利明光街道社区卫生服务,不可达,瑶海区
瑶海区胜利路街道社区卫生服务中心,不可达,瑶海区
繁华新园社区卫生服务站,正常可达,肥西县
工会驿站(清溪路与肥西路交口社区卫生服务站),正常可达,蜀山区
海棠街道清华社区卫生服务站,不可达,庐阳区
安徽医科大学第一附属医院绩溪路院区新外科大楼,正常可达,蜀山区
合肥锐迈医院(建设中),正常可达,包河区
合肥建安中医院精神心理研究中心,正常可达,包河区
科学家园医疗卫生服务站,正常可达,蜀山区
安徽省中医院-急诊科儿科病区,正常可达,蜀山区
合肥市包河区骆岗街道社区卫生服务中心,正常可达,包河区
安徽医科大学第一附属医院南区,正常可达,肥西县
双岗街道虹桥社区卫生服务站,不可达,庐阳区
稻香村街道合力社区卫生服务站,正常可达,蜀山区
杏林街道上城社区卫生服务站,不可达,庐阳区
陈村路医疗卫生服务站,正常可达,蜀山区
安徽省第二人民医院临淮路院区,不可达,瑶海区
合肥市中医院,正常可达,包河区
合肥市第一人民医院滨湖院区,正常可达,包河区
稻香村街道黄山路社区卫生服务站,正常可达,蜀山区
安徽省第二人民医院主院区,不可达,瑶海区
合肥光华医院,不可达,瑶海区
庐阳区杏花村街道社区卫生服务中心,不可达,庐阳区
合肥贝叶中西医结合医院,不可达,瑶海区
合肥大学校医院,正常可达,蜀山区
安徽省妇女儿童医学中心东区,不可达,瑶海区
安徽庐州医院分院,正常可达,庐阳区
安徽省中医院制剂中心,正常可达,蜀山区
合肥市第二人民医院广德路院区,不可达,瑶海区
望湖街道朱岗社区卫生服务站,正常可达,包河区
双岗街道绿都花园社区卫生服务站,不可达,庐阳区
中心卫生院大柳塘社区卫生服务站,正常可达,肥西县
骆岗街道观音庙社区卫生服务站,正常可达,包河区
合肥同行康复医院,不可达,瑶海区
铜陵路街道社区卫生服务中心,不可达,瑶海区
包河区烟墩街道社区卫生服务中心,正常可达,包河区
合肥新港医院,正常可达,肥西县
红光街道卫生服务中心,不可达,瑶海区
城东街道大王庙社区卫生服务站,不可达,瑶海区
临湖社区卫生服务中心,正常可达,包河区
肥西华阳医院,正常可达,肥西县
滨湖世纪社区卫生服务中心,正常可达,包河区
新站高新区七里塘社区卫生服务中心,不可达,瑶海区
瑶海区方庙街道社区卫生服务中心,不可达,瑶海区
三里街街道社区卫生服务中心,不可达,瑶海区
中国科学技术大学附属第一医院安徽省立医院滨湖医疗保健中心,正常可达,包河区
望湖街道王大郢医务室,正常可达,包河区
肥西县中医院(新区),正常可达,肥西县
包河区方兴社区医院,正常可达,包河区
和平路街道社区卫生服务中心,不可达,瑶海区
庐阳区林店街道社区卫生服务中心,不可达,庐阳区
长淮街道社区卫生中心,不可达,瑶海区
合肥高新区长宁社区永和卫生服务站,正常可达,蜀山区
双岗街道虹桥老街社区卫生服务站,不可达,庐阳区
安徽静安中西医结合医院,不可达,瑶海区
瑶海区七里站街道社区卫生服务中心,不可达,瑶海区
瑶海区嘉山路街道社区卫生服务中心,不可达,瑶海区
合肥佰惠医院,不可达,庐阳区
城西桥社区卫生服务中心,正常可达,蜀山区
合肥康恒中西医结合医院,正常可达,包河区
合肥康中医院,不可达,瑶海区
合肥长兴康复医院,不可达,瑶海区
小通社区医院,正常可达,蜀山区
岗集中心卫生院,可达但受限,长丰县
合肥庐州医院,不可达,庐阳区
明光路街道填海巷社区卫生服务站,不可达,瑶海区
安徽新安中西医结合医院,不可达,瑶海区
上海交通大学医学院附属仁济医院安徽医院,不可达,瑶海区
仁德医院,不可达,瑶海区
顺和社区卫生服务站,正常可达,肥西县
合肥市第四人民医院,正常可达,蜀山区
安徽省胸科医院,正常可达,蜀山区
安徽省儿童医院本院,正常可达,包河区
合肥民众医院,正常可达,蜀山区
安徽省眼科医院,正常可达,包河区
中国科学技术大学附属第一医院(西区),正常可达,蜀山区
合肥阳光消化病医院(包河院区),正常可达,包河区
合肥友好医院,正常可达,包河区
安徽省妇女儿童医学中心,正常可达,庐阳区
合肥天佑白癜风中医院,正常可达,包河区
肥西县第二人民医院,正常可达,肥西县
合肥中山医院,不可达,瑶海区
合肥康安中医医院,不可达,瑶海区
庐江县鲍井社区卫生服务站,不可达,庐江县
笔架山街道社区卫生服务中心口腔中心,正常可达,蜀山区
凯旋门医疗卫生服务站,正常可达,蜀山区
蜀山区南七街道社区卫生服务中心庙岗路医疗卫生服务站,正常可达,蜀山区
合肥长淮中医医院-中医门诊·痛症·针灸推拿,正常可达,蜀山区
中航工业江航公司航鑫家苑卫生所,正常可达,蜀山区
合肥白领安琪儿综合医院,不可达,庐阳区
合肥工业大学翡翠湖校区医院,正常可达,蜀山区
合肥工业大学屯溪路校区校医院,正常可达,包河区
望湖城社区卫生服务中心-预防接种门诊,正常可达,包河区
丹霞社区卫生服务站,正常可达,肥西县
新年社区卫生服务站-狂犬病暴露处置门诊,正常可达,蜀山区
合经区临湖新年社区卫生服务站,正常可达,蜀山区
合肥经济技术开发区柳芝秀卫生所,正常可达,蜀山区
山湖苑卫生站,正常可达,蜀山区
建平实验小学南艳校区本部卫生室,正常可达,蜀山区
省工业设备安装公司卫生所,正常可达,包河区
卓然社区卫生站,正常可达,蜀山区
桃花卫生站,不可达,庐阳区
丁家巷卫生厅,正常可达,庐阳区
合肥永康综合门诊,正常可达,包河区
庐阳区三十岗乡三岗村卫生室,可达但受限,庐阳区
紫蓬镇卫生院泗洲卫生室,正常可达,蜀山区
庐阳区大杨镇十张村卫生室,可达但受限,庐阳区
淝河镇卫乡村卫生站,正常可达,包河区
菱店诊所,不可达,庐阳区
淝河镇黄镇村卫生站,正常可达,包河区
肥西县上派镇古埂社区卫生服务站,正常可达,肥西县
合肥瑶海漕冲卫生室,不可达,瑶海区
庐阳区三十岗乡东瞿村卫生室,可达但受限,庐阳区
方桥村卫生室,不可达,瑶海区
新站站北社区新店村卫生所,不可达,瑶海区
合肥瑶海罗岗第四卫生室,不可达,瑶海区
紫蓬镇卫生院栗树卫生室,正常可达,肥西县
长丰县岗集镇龙岗村卫生室,不可达,长丰县
合肥瑶海龙岗史城第二卫生室,不可达,瑶海区
瑶海区龙岗罗岗卫生室(临泉东路),不可达,瑶海区
汲桥卫生站,不可达,庐阳区
王岗第一卫生室,不可达,瑶海区
新城卫生站,正常可达,蜀山区
望城店卫生站,不可达,庐阳区
罗岗第二卫生室(临泉东路店),不可达,瑶海区
三十头村卫生室,不可达,瑶海区
陈明升马岗卫生室,不可达,瑶海区
合肥瑶海龙岗新站卫生室,不可达,瑶海区
潘红霞马岗卫生室,不可达,瑶海区
合肥济仁中医医院,不可达,长丰县
长丰县岗集镇新庄村卫生室,不可达,长丰县
肥东县店埠镇光大社区卫生室,不可达,肥东县
撮镇镇建华社区卫生室,不可达,肥东县
新站综合开发试验区张店村卫生室,不可达,瑶海区
金湖花园社区卫生服务站,正常可达,长丰县
罗岗第三卫生室,不可达,瑶海区
东站卫生室,不可达,瑶海区
撮镇镇新安社区卫生室,不可达,肥东县
撮镇唐安社区卫生室,不可达,肥东县
撮镇镇大费社区卫生室,不可达,肥东县
小庙镇中心卫生院卫星卫生室,正常可达,蜀山区
安冲村卫生室,正常可达,长丰县
牛寨村卫生室,正常可达,长丰县
大店卫生室,不可达,瑶海区
新站高新技术产业开发区八联卫生室,不可达,瑶海区
瑶海区龙岗王岗卫生室(华凌锦苑东),不可达,瑶海区
三十埠卫生室,不可达,长丰县
泗州新村卫生室,正常可达,蜀山区
店埠镇双桥社区卫生室,不可达,肥东县
高刘镇中心卫生院街道卫生室,不可达,蜀山区
肥西县中医院紫蓬分院农兴卫生室,正常可达,肥西县
撮镇镇华光村卫生室,不可达,肥东县
墩塘社区卫生院,不可达,肥东县
烟墩新街卫生站,正常可达,包河区
蜀山区小庙镇大柏卫生室,正常可达,蜀山区
雷麻卫生站,正常可达,蜀山区
严店乡卫生院苏小卫生室,正常可达,肥西县
店埠镇城南社区卫生室,不可达,肥东县
岳大郢卫生所,正常可达,蜀山区
枞阳路卫生站,不可达,瑶海区
彭圩卫生室,正常可达,肥西县
瑶海红光钢北卫生站,不可达,瑶海区
安徽职业技术大学卫生所,不可达,瑶海区
合肥市长丰县双凤开发区万里社区卫生服务站,不可达,长丰县
肥西县上派镇中心卫生院爱和社区卫生室,正常可达,肥西县
中心卫生院谢塘卫生室,正常可达,肥西县
张店村卫生室三,不可达,瑶海区
瓦岗村卫生室,不可达,瑶海区
李湾村卫生室,不可达,瑶海区
尚店卫生站,不可达,庐阳区
三十头镇三房岗村卫生室,不可达,瑶海区
肥东县店埠镇镇北社区卫生室,不可达,肥东县
新城社区卫生室,不可达,肥东县
长丰县岗集镇斗镇村卫生室,不可达,长丰县
肥东县牌坊回族满族乡兴一村卫生室,不可达,肥东县
富郢村卫生室,不可达,瑶海区
光明村卫生室,不可达,瑶海区
肥东县店埠镇唐杨社区卫生室,不可达,肥东县
吴山镇高岗村卫生室,不可达,长丰县
赵桥卫生室,正常可达,肥西县
燎原社区卫生室,不可达,肥东县
长丰县岗集镇四十埠村卫生所,不可达,长丰县
北分路卫生室,正常可达,蜀山区
丰乐镇中心卫生院方桥卫生室,正常可达,肥西县
双墩镇花园社区卫生服务站,可达但受限,长丰县
店埠镇镇南社区卫生室,不可达,肥东县
东站卫生所,不可达,瑶海区
肥东县元疃镇路集社区卫生室,不可达,肥东县
撮镇镇撮西社区卫生室,不可达,肥东县
元疃镇三合社区卫生室,不可达,肥东县
肥东县第三人民医院青春社区卫生服务站,不可达,肥东县
古河社区卫生室,不可达,肥东县
肥东县店埠镇花园社区卫生室,不可达,肥东县
店埠镇半店村卫生室,不可达,肥东县
定光社区卫生室,不可达,肥东县
肥东县撮镇镇振兴村卫生室,不可达,肥东县
肥东店埠镇排头卫生室,不可达,肥东县
长丰县吴山镇桥冲村卫生室,不可达,长丰县
南苑村卫生室,不可达,长丰县
长丰县双墩镇大官塘村卫生室,不可达,长丰县
瑶海社区喻岗卫生室,不可达,瑶海区
众兴乡范岗村卫生室,不可达,肥东县
同大镇南闸村卫生室,不可达,庐江县
长丰县双墩镇吴店村卫生室,不可达,长丰县
许井社区卫生室,不可达,肥东县
店埠镇合浦村卫生室,不可达,肥东县
肥东县白龙镇同心村卫生室,不可达,肥东县
众兴乡谢岗村卫生室,不可达,肥东县
罗店社区卫生室,不可达,肥东县
花灯卫生室,不可达,肥东县
陶楼乡高塘卫生室,不可达,长丰县
长丰县杨庙镇马郢社区卫生室,不可达,长丰县
长丰县下塘镇明华村卫生室,不可达,长丰县
肥西县高店镇长镇卫生室,不可达,肥西县
新仓卫生院路桥卫生室,正常可达,肥西县
肥东县桥头集镇梅山社区卫生室,不可达,肥东县
花岗镇中心卫生院沿河卫生室,正常可达,肥西县
长丰县双墩镇罗北村卫生室,不可达,长丰县
童大井卫生室,不可达,肥西县
高塘社区卫生室,不可达,肥东县
新河村卫生室,可达但受限,庐江县
牌坊乡新丰村卫生室,不可达,肥东县
五十埠卫生室,不可达,长丰县
江岗卫生室,不可达,蜀山区
花岗镇中心卫生院粉坊卫生室,正常可达,肥西县
长丰县陶楼镇大桥社区卫生室,不可达,长丰县
高刘卫生院红塘卫生室,不可达,蜀山区
同大镇马河村卫生室,可达但受限,庐江县
齐咀村卫生室,不可达,庐江县
虹光社区卫生室,不可达,肥东县
高店乡卫生院团塘卫生室,不可达,肥西县
店埠镇陂塘社区卫生室,不可达,肥东县
肥东县牌坊回族满族乡兴庙村卫生室,不可达,肥东县
中庙街道旭东古塘村联合卫生室,不可达,巢湖市
肥东县石塘镇东明村卫生室,不可达,肥东县
元疃镇居委会卫生室,不可达,肥东县
肥东县石塘镇新展村卫生室,不可达,肥东县
三河镇中心卫生院西街卫生室,正常可达,肥西县
长丰县下塘镇陶新村卫生室,不可达,长丰县
柿树岗乡卫生院双龙卫生室,不可达,肥西县
肥东县长临河镇白马村卫生室,不可达,肥东县
郭河镇广寒村卫生室,正常可达,庐江县
南街卫生站,可达但受限,肥西县
江夏街道卫生室,不可达,肥西县
洪峰卫生室,不可达,瑶海区
永安村卫生室,可达但受限,庐江县
长丰县下塘镇新集村卫生室,不可达,长丰县
花岗中心卫生院花园卫生室,正常可达,肥西县
刘河卫生院大丰卫生室,正常可达,肥西县
肥东县石塘镇新联村卫生室,不可达,肥东县
肥东县白龙镇镇南社区卫生室,不可达,肥东县
合肥市儿童福利院卫生所,不可达,瑶海区
铭传乡卫生院鸽子笼卫生室,不可达,肥西县
长丰县双墩镇兴岭村卫生室,不可达,长丰县
同大镇常丰村卫生室,可达但受限,庐江县
西湾村卫生室,可达但受限,庐江县
山南镇中心卫生院街道卫生室,不可达,肥西县
同春村卫生室,不可达,庐江县
白山镇觉海村卫生室,不可达,庐江县
同大镇北圩村卫生室,可达但受限,庐江县
撮东社区卫生所,不可达,肥东县
杨店乡姚岗村卫生室,不可达,肥东县
山南镇中心卫生院金牛卫生室,不可达,肥西县
山南镇中心卫生院沈店卫生室,不可达,肥西县
长丰县吴山镇梨园村卫生室,不可达,长丰县
店埠镇安乐社区卫生室,不可达,肥东县
民主社区卫生室,不可达,肥东县
丰乐镇中心卫生院双枣卫生室,正常可达,肥西县
肥西县紫蓬镇兴庄村卫生室,正常可达,肥西县
刘集社区卫生室,不可达,肥东县
杨店乡跃进村卫生室,不可达,肥东县
长丰县吴山镇涂郢社区卫生室,不可达,长丰县
胜岗村卫生室,不可达,长丰县
龙集社区卫生室,不可达,肥东县
撮镇镇仙临村卫生室,不可达,肥东县
合肥循环经济示范园泰和社区卫生室,不可达,肥东县
长丰县造甲乡双河村卫生室,不可达,长丰县
