name,accessibility,district
天乐社区卫生服务中心狂犬病暴露预防处置门诊,正常可达,未知
合肥高新区江河社区卫生服务中心,正常可达,未知
井岗镇蜀山经济开发区阳光社区卫生服务站,正常可达,未知
同安街道社区卫生服务中心,正常可达,未知
海恒社区卫生服务中心,正常可达,未知
合肥瞬至医院,正常可达,未知
常青街道社区医院,正常可达,未知
望湖社区卫生服务中心,正常可达,未知
安徽省创面与显微外科技术研究院附属医院,正常可达,未知
三里庵街道二里街社区卫生服务站,正常可达,未知
蜀山区南七街道社区卫生服务中心口腔诊疗中心,正常可达,未知
翡翠医院,正常可达,未知
荷叶地街道金荷社区卫生服务站,正常可达,未知
庐阳区三孝口街道社区卫生服务中心,正常可达,未知
安徽医科大学医院,正常可达,未知
蜀山区琥珀街道奥林花园社区卫生服务站,正常可达,未知
合肥市高新区锦绣怡园社区卫生服务站,正常可达,未知
包河区望湖街道银杏苑社区卫生服务站,正常可达,未知
安徽省中医院名医堂,正常可达,未知
桃花镇卫生院,正常可达,未知
延乔路医院,正常可达,未知
琥珀街道飞虹社区卫生服务站,正常可达,未知
经开区海恒社区习友卫生服务站,正常可达,未知
亳州路街道社区卫生服务中心,正常可达,未知
荷叶地街道社区卫生服务中心急诊,正常可达,未知
五里墩街道青阳路社区卫生服务站,正常可达,未知
金谷医院,不可达,未知
合肥市包河区望江中路社区卫生服务中心科大花园社区卫生服务站,正常可达,未知
安徽省人民政府机关医院,正常可达,未知
蜀山区琥珀街道社区卫生服务中心(老址),正常可达,未知
海恒福禄园社区卫生服务站,正常可达,未知
四里河街道社区卫生服务中心,正常可达,未知
包公街道社区卫生服务中心,正常可达,未知
包公街道青年西区社区卫生服务站,正常可达,未知
庐阳区海棠街道社区卫生服务中心,不可达,未知
合肥市第一人民医院临床教学中心,正常可达,未知
肥西县桃花工业园社区卫生服务中心,正常可达,未知
合肥高新区长宁社区卫生服务中心,正常可达,未知
南七街道丁香汽修社区卫生服务站,正常可达,未知
合肥光明老年护理医院,正常可达,未知
安徽医科大学第一附属医院柏堰院区,正常可达,未知
中国科学院临床研究医院(合肥)(装修中),正常可达,未知
合肥市第一人民医院西区(暂停营业),正常可达,未知
武警医院(南区)(暂停营业),正常可达,未知
合肥市淝河镇社区卫生服务中心,正常可达,未知
安徽医科大学第一附属医院高新院区,正常可达,未知
合肥建安中医院,正常可达,未知
逍遥津街道社区卫生服务中心,正常可达,未知
安徽建筑大学北校区校医院,正常可达,未知
合肥包河区包公街道炳辉社区卫生服务站,正常可达,未知
合肥经济技术开发区锦绣方兴社区卫生服务站,正常可达,未知
亳州路街道古城社区卫生服务站,正常可达,未知
岳西路医疗卫生服务站,正常可达,未知
三孝口街道大夫第社区卫生服务站,正常可达,未知
包河区同安街道朱岗社区卫生服务站,正常可达,未知
安徽中医药大学第一附属医院内科大楼,正常可达,未知
首都医科大学附属北京安贞医院安徽医院,正常可达,未知
五里墩街道家家景园社区卫生服务站,正常可达,未知
锦绣社区卫生服务中心,正常可达,未知
安徽中医药大学第一附属医院安徽省中医院双向转诊接诊处,正常可达,未知
安徽医科大学第二附属医院爱婴医院,正常可达,未知
小通社区医院,正常可达,未知
仁医星中医连锁(合肥总店),正常可达,未知
双岗街道高河埂社区卫生服务站,正常可达,未知
安徽中医药大学第一附属医院介入中心,正常可达,未知
双岗街道小桥湾社区卫生服务站,不可达,未知
安徽省中医院行管楼,正常可达,未知
安徽医科大学第一附属医院临床研究医院,正常可达,未知
合肥东南中医院,正常可达,未知
合肥瑶海板桥医院,不可达,未知
安徽中医药大学第一附属医院丹溪楼,正常可达,未知
合肥市第二人民医院和平路院区,正常可达,未知
合肥高新区南岗社区卫生服务中心,正常可达,未知
合肥中医推拿医院,正常可达,未知
锦绣天都社区卫生服务站,正常可达,未知
安徽中医药大学第一附属医院检验中心,正常可达,未知
合肥龙华医院,不可达,未知
安徽三联学院南区校医院,正常可达,未知
合肥高新区杨林社区卫生服务站,正常可达,未知
安徽庐州医院四季青分院,正常可达,未知
同安街道分路口社区卫生服务站,正常可达,未知
胜利明光街道社区卫生服务中心,正常可达,未知
包公街道河滨社区卫生服务站,正常可达,未知
庐阳区大杨镇社区卫生服务中心,正常可达,未知
安徽医科大学第一附属医院高新院区医技楼,正常可达,未知
合肥东南中医院,正常可达,未知
瑶海区城东街道社区卫生服务中心,正常可达,未知
庐阳区杏林街道社区卫生服务中心,不可达,未知
琥珀社区医疗服务中心,正常可达,未知
同安街道王大郢社区卫生服务站,正常可达,未知
合肥博极医院,正常可达,未知
大杨镇夹塘社区卫生服务站,正常可达,未知
同安街道周谷堆社区卫生服务站,正常可达,未知
瑶海区胜利明光街道社区卫生服务,正常可达,未知
瑶海区胜利路街道社区卫生服务中心,不可达,未知
繁华新园社区卫生服务站,正常可达,未知
工会驿站(清溪路与肥西路交口社区卫生服务站),正常可达,未知
海棠街道清华社区卫生服务站,不可达,未知
安徽医科大学第一附属医院绩溪路院区新外科大楼,正常可达,未知
合肥锐迈医院(建设中),正常可达,未知
合肥建安中医院精神心理研究中心,正常可达,未知
科学家园医疗卫生服务站,正常可达,未知
安徽省中医院-急诊科儿科病区,正常可达,未知
合肥市包河区骆岗街道社区卫生服务中心,正常可达,未知
安徽医科大学第一附属医院南区,正常可达,未知
双岗街道虹桥社区卫生服务站,正常可达,未知
稻香村街道合力社区卫生服务站,正常可达,未知
杏林街道上城社区卫生服务站,不可达,未知
陈村路医疗卫生服务站,正常可达,未知
安徽省第二人民医院临淮路院区,正常可达,未知
合肥市中医院,正常可达,未知
合肥市第一人民医院滨湖院区,正常可达,未知
稻香村街道黄山路社区卫生服务站,正常可达,未知
安徽省第二人民医院主院区,不可达,未知
合肥光华医院,不可达,未知
庐阳区杏花村街道社区卫生服务中心,不可达,未知
合肥贝叶中西医结合医院,不可达,未知
合肥大学校医院,正常可达,未知
安徽省妇女儿童医学中心东区,正常可达,未知
安徽庐州医院分院,正常可达,未知
安徽省中医院制剂中心,正常可达,未知
合肥市第二人民医院广德路院区,不可达,未知
望湖街道朱岗社区卫生服务站,正常可达,未知
双岗街道绿都花园社区卫生服务站,不可达,未知
中心卫生院大柳塘社区卫生服务站,正常可达,未知
骆岗街道观音庙社区卫生服务站,正常可达,未知
合肥同行康复医院,不可达,未知
铜陵路街道社区卫生服务中心,不可达,未知
包河区烟墩街道社区卫生服务中心,正常可达,未知
合肥新港医院,正常可达,未知
红光街道卫生服务中心,不可达,未知
城东街道大王庙社区卫生服务站,正常可达,未知
临湖社区卫生服务中心,正常可达,未知
肥西华阳医院,正常可达,未知
滨湖世纪社区卫生服务中心,正常可达,未知
新站高新区七里塘社区卫生服务中心,不可达,未知
瑶海区方庙街道社区卫生服务中心,不可达,未知
三里街街道社区卫生服务中心,不可达,未知
中国科学技术大学附属第一医院安徽省立医院滨湖医疗保健中心,正常可达,未知
望湖街道王大郢医务室,正常可达,未知
肥西县中医院(新区),正常可达,未知
包河区方兴社区医院,正常可达,未知
和平路街道社区卫生服务中心,不可达,未知
庐阳区林店街道社区卫生服务中心,不可达,未知
长淮街道社区卫生中心,不可达,未知
合肥高新区长宁社区永和卫生服务站,正常可达,未知
双岗街道虹桥老街社区卫生服务站,不可达,未知
安徽静安中西医结合医院,不可达,未知
瑶海区七里站街道社区卫生服务中心,不可达,未知
瑶海区嘉山路街道社区卫生服务中心,不可达,未知
合肥佰惠医院,不可达,未知
城西桥社区卫生服务中心,正常可达,未知
合肥康恒中西医结合医院,正常可达,未知
合肥康中医院,不可达,未知
合肥长兴康复医院,不可达,未知
小通社区医院,正常可达,未知
岗集中心卫生院,可达但受限,未知
合肥庐州医院,不可达,未知
明光路街道填海巷社区卫生服务站,正常可达,未知
安徽新安中西医结合医院,不可达,未知
上海交通大学医学院附属仁济医院安徽医院,不可达,未知
仁德医院,不可达,未知
顺和社区卫生服务站,正常可达,未知
合肥市第四人民医院,正常可达,未知
安徽省胸科医院,正常可达,未知
安徽省儿童医院本院,正常可达,未知
合肥民众医院,正常可达,未知
安徽省眼科医院,正常可达,未知
中国科学技术大学附属第一医院(西区),正常可达,未知
合肥阳光消化病医院(包河院区),正常可达,未知
合肥友好医院,正常可达,未知
安徽省妇女儿童医学中心,正常可达,未知
合肥天佑白癜风中医院,正常可达,未知
肥西县第二人民医院,正常可达,未知
合肥中山医院,不可达,未知
合肥康安中医医院,不可达,未知
庐江县鲍井社区卫生服务站,不可达,未知
笔架山街道社区卫生服务中心口腔中心,正常可达,未知
凯旋门医疗卫生服务站,正常可达,未知
蜀山区南七街道社区卫生服务中心庙岗路医疗卫生服务站,正常可达,未知
合肥长淮中医医院-中医门诊·痛症·针灸推拿,正常可达,未知
中航工业江航公司航鑫家苑卫生所,正常可达,未知
合肥白领安琪儿综合医院,正常可达,未知
合肥工业大学翡翠湖校区医院,正常可达,未知
合肥工业大学屯溪路校区校医院,正常可达,未知
望湖城社区卫生服务中心-预防接种门诊,正常可达,未知
丹霞社区卫生服务站,正常可达,未知
新年社区卫生服务站-狂犬病暴露处置门诊,正常可达,未知
合经区临湖新年社区卫生服务站,正常可达,未知
合肥经济技术开发区柳芝秀卫生所,正常可达,未知
山湖苑卫生站,正常可达,未知
建平实验小学南艳校区本部卫生室,正常可达,未知
省工业设备安装公司卫生所,正常可达,未知
卓然社区卫生站,正常可达,未知
桃花卫生站,不可达,未知
丁家巷卫生厅,正常可达,未知
合肥永康综合门诊,正常可达,未知
庐阳区三十岗乡三岗村卫生室,正常可达,未知
紫蓬镇卫生院泗洲卫生室,正常可达,未知
庐阳区大杨镇十张村卫生室,可达但受限,未知
淝河镇卫乡村卫生站,正常可达,未知
菱店诊所,不可达,未知
淝河镇黄镇村卫生站,正常可达,未知
肥西县上派镇古埂社区卫生服务站,正常可达,未知
合肥瑶海漕冲卫生室,不可达,未知
庐阳区三十岗乡东瞿村卫生室,正常可达,未知
方桥村卫生室,不可达,未知
新站站北社区新店村卫生所,不可达,未知
合肥瑶海罗岗第四卫生室,不可达,未知
紫蓬镇卫生院栗树卫生室,正常可达,未知
长丰县岗集镇龙岗村卫生室,可达但受限,未知
合肥瑶海龙岗史城第二卫生室,不可达,未知
瑶海区龙岗罗岗卫生室(临泉东路),不可达,未知
汲桥卫生站,不可达,未知
王岗第一卫生室,不可达,未知
新城卫生站,正常可达,未知
望城店卫生站,不可达,未知
罗岗第二卫生室(临泉东路店),不可达,未知
三十头村卫生室,不可达,未知
陈明升马岗卫生室,不可达,未知
合肥瑶海龙岗新站卫生室,不可达,未知
潘红霞马岗卫生室,不可达,未知
合肥济仁中医医院,不可达,未知
长丰县岗集镇新庄村卫生室,可达但受限,未知
肥东县店埠镇光大社区卫生室,不可达,未知
撮镇镇建华社区卫生室,不可达,未知
新站综合开发试验区张店村卫生室,不可达,未知
金湖花园社区卫生服务站,可达但受限,未知
罗岗第三卫生室,不可达,未知
东站卫生室,不可达,未知
撮镇镇新安社区卫生室,不可达,未知
撮镇唐安社区卫生室,不可达,未知
撮镇镇大费社区卫生室,不可达,未知
小庙镇中心卫生院卫星卫生室,正常可达,未知
安冲村卫生室,可达但受限,未知
牛寨村卫生室,可达但受限,未知
大店卫生室,不可达,未知
新站高新技术产业开发区八联卫生室,不可达,未知
瑶海区龙岗王岗卫生室(华凌锦苑东),不可达,未知
三十埠卫生室,可达但受限,未知
泗州新村卫生室,正常可达,未知
店埠镇双桥社区卫生室,不可达,未知
高刘镇中心卫生院街道卫生室,不可达,未知
肥西县中医院紫蓬分院农兴卫生室,正常可达,未知
撮镇镇华光村卫生室,不可达,未知
墩塘社区卫生院,不可达,未知
烟墩新街卫生站,正常可达,未知
蜀山区小庙镇大柏卫生室,正常可达,未知
雷麻卫生站,正常可达,未知
严店乡卫生院苏小卫生室,正常可达,未知
店埠镇城南社区卫生室,不可达,未知
岳大郢卫生所,正常可达,未知
枞阳路卫生站,不可达,未知
彭圩卫生室,正常可达,未知
瑶海红光钢北卫生站,不可达,未知
安徽职业技术大学卫生所,不可达,未知
合肥市长丰县双凤开发区万里社区卫生服务站,不可达,未知
肥西县上派镇中心卫生院爱和社区卫生室,正常可达,未知
中心卫生院谢塘卫生室,正常可达,未知
张店村卫生室三,不可达,未知
瓦岗村卫生室,不可达,未知
李湾村卫生室,不可达,未知
尚店卫生站,不可达,未知
三十头镇三房岗村卫生室,不可达,未知
肥东县店埠镇镇北社区卫生室,不可达,未知
新城社区卫生室,不可达,未知
长丰县岗集镇斗镇村卫生室,不可达,未知
肥东县牌坊回族满族乡兴一村卫生室,不可达,未知
富郢村卫生室,不可达,未知
光明村卫生室,不可达,未知
肥东县店埠镇唐杨社区卫生室,不可达,未知
吴山镇高岗村卫生室,不可达,未知
赵桥卫生室,正常可达,未知
燎原社区卫生室,不可达,未知
长丰县岗集镇四十埠村卫生所,不可达,未知
北分路卫生室,正常可达,未知
丰乐镇中心卫生院方桥卫生室,正常可达,未知
双墩镇花园社区卫生服务站,正常可达,未知
店埠镇镇南社区卫生室,不可达,未知
东站卫生所,不可达,未知
肥东县元疃镇路集社区卫生室,不可达,未知
撮镇镇撮西社区卫生室,不可达,未知
元疃镇三合社区卫生室,不可达,未知
肥东县第三人民医院青春社区卫生服务站,不可达,未知
古河社区卫生室,不可达,未知
肥东县店埠镇花园社区卫生室,不可达,未知
店埠镇半店村卫生室,不可达,未知
定光社区卫生室,不可达,未知
肥东县撮镇镇振兴村卫生室,不可达,未知
肥东店埠镇排头卫生室,不可达,未知
长丰县吴山镇桥冲村卫生室,不可达,未知
南苑村卫生室,不可达,未知
长丰县双墩镇大官塘村卫生室,不可达,未知
瑶海社区喻岗卫生室,不可达,未知
众兴乡范岗村卫生室,不可达,未知
同大镇南闸村卫生室,不可达,未知
长丰县双墩镇吴店村卫生室,不可达,未知
许井社区卫生室,不可达,未知
店埠镇合浦村卫生室,不可达,未知
肥东县白龙镇同心村卫生室,不可达,未知
众兴乡谢岗村卫生室,不可达,未知
罗店社区卫生室,不可达,未知
花灯卫生室,不可达,未知
陶楼乡高塘卫生室,不可达,未知
长丰县杨庙镇马郢社区卫生室,不可达,未知
长丰县下塘镇明华村卫生室,不可达,未知
肥西县高店镇长镇卫生室,不可达,未知
新仓卫生院路桥卫生室,正常可达,未知
肥东县桥头集镇梅山社区卫生室,不可达,未知
花岗镇中心卫生院沿河卫生室,正常可达,未知
长丰县双墩镇罗北村卫生室,不可达,未知
童大井卫生室,不可达,未知
高塘社区卫生室,不可达,未知
新河村卫生室,正常可达,未知
牌坊乡新丰村卫生室,不可达,未知
五十埠卫生室,不可达,未知
江岗卫生室,不可达,未知
花岗镇中心卫生院粉坊卫生室,正常可达,未知
长丰县陶楼镇大桥社区卫生室,不可达,未知
高刘卫生院红塘卫生室,不可达,未知
同大镇马河村卫生室,正常可达,未知
齐咀村卫生室,不可达,未知
虹光社区卫生室,不可达,未知
高店乡卫生院团塘卫生室,不可达,未知
店埠镇陂塘社区卫生室,不可达,未知
肥东县牌坊回族满族乡兴庙村卫生室,不可达,未知
中庙街道旭东古塘村联合卫生室,不可达,未知
肥东县石塘镇东明村卫生室,不可达,未知
元疃镇居委会卫生室,不可达,未知
肥东县石塘镇新展村卫生室,不可达,未知
三河镇中心卫生院西街卫生室,正常可达,未知
长丰县下塘镇陶新村卫生室,不可达,未知
柿树岗乡卫生院双龙卫生室,不可达,未知
肥东县长临河镇白马村卫生室,不可达,未知
郭河镇广寒村卫生室,正常可达,未知
南街卫生站,正常可达,未知
江夏街道卫生室,不可达,未知
洪峰卫生室,不可达,未知
永安村卫生室,正常可达,未知
长丰县下塘镇新集村卫生室,不可达,未知
花岗中心卫生院花园卫生室,正常可达,未知
刘河卫生院大丰卫生室,正常可达,未知
肥东县石塘镇新联村卫生室,不可达,未知
肥东县白龙镇镇南社区卫生室,不可达,未知
合肥市儿童福利院卫生所,不可达,未知
铭传乡卫生院鸽子笼卫生室,不可达,未知
长丰县双墩镇兴岭村卫生室,不可达,未知
同大镇常丰村卫生室,正常可达,未知
西湾村卫生室,正常可达,未知
山南镇中心卫生院街道卫生室,不可达,未知
同春村卫生室,不可达,未知
白山镇觉海村卫生室,不可达,未知
同大镇北圩村卫生室,正常可达,未知
撮东社区卫生所,不可达,未知
杨店乡姚岗村卫生室,不可达,未知
山南镇中心卫生院金牛卫生室,不可达,未知
山南镇中心卫生院沈店卫生室,不可达,未知
长丰县吴山镇梨园村卫生室,不可达,未知
店埠镇安乐社区卫生室,不可达,未知
民主社区卫生室,不可达,未知
丰乐镇中心卫生院双枣卫生室,正常可达,未知
肥西县紫蓬镇兴庄村卫生室,正常可达,未知
刘集社区卫生室,不可达,未知
杨店乡跃进村卫生室,不可达,未知
长丰县吴山镇涂郢社区卫生室,不可达,未知
胜岗村卫生室,不可达,未知
龙集社区卫生室,不可达,未知
撮镇镇仙临村卫生室,不可达,未知
合肥循环经济示范园泰和社区卫生室,不可达,未知
长丰县造甲乡双河村卫生室,不可达,未知
