name,lng,lat,address,tel,type
蜀山区笔架山街道翠庭园社区卫生服务站,117.208694,31.805993,翠庭园习友路088号,0551-63530227,综合医院
合肥皓康医院,117.221725,31.822975,怀宁路平安大厦裙楼4楼(东门),0551-65667377;17333075877,综合医院
蜀山区南七街道洪岗社区卫生服务站,117.233484,31.835522,南七街道潜山路和皖河路交口向东20米皖河东段红鑫小区门口旁边,0551-65580079,综合医院
莲花朝霞社区卫生服务站,117.21919,31.788398,芙蓉路与宝塔路交叉口朝霞菜市场综合楼东南角1层,0551-63823460,综合医院
江淮汽车集团医院,117.279895,31.81479,东流路176号,0551-62296915,综合医院
三里庵街道社区卫生服务中心,117.260141,31.843513,肥西路,0551-65118238;0551-65142626;0551-65168643,综合医院
包河区常青街道社区卫生服务中心,117.278923,31.814771,常青街道桐城支路,0551-63526925,综合医院
井岗镇十里庙社区卫生服务站,117.221214,31.848242,怀宁路大溪地宁溪学校对面,0551-65318026,综合医院
西园街道汉嘉社区卫生服务站,117.230851,31.846052,潜山路375号,0551-65582340,综合医院
安徽叉车集团有限责任公司职工医院,117.253172,31.830408,稻香村街道望江西路116号安徽叉车集团有限责任公司职工医院一楼药房,0551-63719211,综合医院
合肥市包河区常青街道薛河湾社区卫生服务站,117.262081,31.80486,龙图路与关麓路交口东南角邻里坊商业街区3号楼,0551-65536202,综合医院
高新区蜀南庭苑社区卫生服务中心,117.166118,31.827561,高新区望江西路4289号蜀南庭苑商业街蜀山新天地C2栋1,0551-65736029,综合医院
武警医院安徽省总队医院北区,117.258736,31.874406,长丰路78号,0551-64637888;0551-65681855,综合医院
蜀山区五里墩街道社区卫生服务中心,117.234112,31.869193,潜山北路与高刘路交口三实大厦4-6层(望龙学校对面),0551-65503986,综合医院
中国科学技术大学附属第一医院(安徽省立医院),117.290493,31.857692,庐江路17号(四牌楼地铁站B口步行430米),0551-62283583;0551-62283691;96512,综合医院
安徽中医药大学第一附属医院(省中医院)西区,117.244081,31.862812,史河路45号上海中医药大学附属曙光医院安徽医院,0551-62736750,综合医院
合肥仁爱中医医院,117.282449,31.850118,桐城路22号,18556519798,综合医院
常青街道金寨南路社区卫生服务站,117.264167,31.825055,名都花园2幢,0551-63655797,综合医院
合肥市第一人民医院本部,117.280261,31.867684,淮河路390号(杏花公园地铁站B口步行310米),0551-62186777,综合医院
安徽医科大学第一附属医院北区(屯溪路院区)(老院区),117.282749,31.848373,屯溪路372号,0551-62873182;0551-62873490,综合医院
蜀山区琥珀街道社区卫生服务中心(新址),117.251019,31.860277,合作化北路158号,0551-62307308,综合医院
省人大医院,117.275864,31.846663,屯溪路429号,0551-63608991;0551-63609615,综合医院
蜀山区南七街道新华社区卫生服务站,117.248424,31.830648,望江西路160号,0551-65144128,综合医院
西园街道安居苑社区卫生服务站,117.236698,31.848366,安居苑82幢101号,0551-65581263,综合医院
蜀山区社区卫生服务中心,117.171113,31.857503,井岗路218号,0551-65357678;0551-65357689,综合医院
包河区芜湖路街道社区卫生服务中心,117.282322,31.848175,屯溪路372号,0551-62861457,综合医院
广瑞医疗·新园中医综合医院,117.169997,31.78183,桃花镇禹洲天玺北门东侧43号,15395120747;19154036030;19315316271,综合医院
稻香村街道合作化南路社区卫生服务站,117.251906,31.831016,西苑小区西门旁,13856069178,综合医院
芜湖路街道友谊社区卫生服务站,117.284746,31.833752,美菱大道与太湖路交口恒生阳光城3栋102-202号,0551-62875233;18155124915,综合医院
包河区常青街道仰光社区卫生服务站,117.27077,31.821638,宿松路275号,0551-63659892,综合医院
肥西县桃花镇染坊社区卫生服务站,117.198999,31.791565,桃花镇染坊社区北苑东北门西北120米,15156986665,综合医院
天乐社区卫生服务中心狂犬病暴露预防处置门诊,117.201535,31.844535,蜀山区高新区天达路71号华亿科学园A1栋1-4层,0551-62066524,综合医院
合肥高新区江河社区卫生服务中心,117.161362,31.807834,柏堰商业街C1-21,0551-65842721,综合医院
井岗镇蜀山经济开发区阳光社区卫生服务站,117.207918,31.858188,美丽华花园东南门西110米,0551-65325199,综合医院
同安街道社区卫生服务中心,117.297814,31.822063,青年路58号安徽置地瑞玺南区南门,0551-63457923,综合医院
海恒社区卫生服务中心,117.269428,31.766574,,0551-62820292;0551-63811769,综合医院
合肥瞬至医院,117.227592,31.852795,西园街道西七里塘十里庙路3号A幢,0551-62889200,综合医院
常青街道社区医院,117.27895,31.814739,桐城支路与南二环路辅路交叉口北40米,0551-66161530,综合医院
望湖社区卫生服务中心,117.296779,31.806074,望湖中路与望湖东路交口望湖公园内(西侧),,综合医院
安徽省创面与显微外科技术研究院附属医院,117.289956,31.826096,合巢路97号,0551-63363696,综合医院
三里庵街道二里街社区卫生服务站,117.264024,31.857349,长江西路43号(安农大地铁站D口步行240米),0551-62841179,综合医院
蜀山区南七街道社区卫生服务中心口腔诊疗中心,117.24099,31.827219,丁香家园1期西南门旁,,综合医院
翡翠医院,117.200926,31.761933,翡翠路与环翠路交汇处向南100米,0551-62628120,综合医院
荷叶地街道金荷社区卫生服务站,117.245456,31.806014,皖西新村东南1门旁,,综合医院
庐阳区三孝口街道社区卫生服务中心,117.279027,31.861952,长江中路300号(三孝口地铁站B口步行230米),0551-62842431,综合医院
安徽医科大学医院,117.263949,31.850467,梅山路,,综合医院
蜀山区琥珀街道奥林花园社区卫生服务站,117.255926,31.871139,肥西路与清溪路交叉口国轩苑东区1栋105-106室,0551-65157120,综合医院
合肥市高新区锦绣怡园社区卫生服务站,117.194851,31.812609,习友路与香樟大道交叉口东南300米,,综合医院
包河区望湖街道银杏苑社区卫生服务站,117.287872,31.821637,徽州大道1158号,0551-63427811,综合医院
安徽省中医院名医堂,117.261131,31.85378,梅山路117号安徽省中医院,,综合医院
桃花镇卫生院,117.170878,31.778042,长古路与延乔路交叉口西南60米,,综合医院
延乔路医院,117.170931,31.777788,延乔路与长古路交口西南角,0551-62565527,综合医院
琥珀街道飞虹社区卫生服务站,117.253325,31.855375,飞虹商城B-33号(三里庵地铁站F口步行190米),0551-65111105,综合医院
经开区海恒社区习友卫生服务站,117.257304,31.782953,经开区海恒社区管理委员会街道芙蓉路福禄园,0551-63815190,综合医院
亳州路街道社区卫生服务中心,117.266631,31.877035,亳州路菜市场3楼,0551-63870727,综合医院
荷叶地街道社区卫生服务中心急诊,117.240781,31.821567,绿怡居西区东1门南170米,,综合医院
五里墩街道青阳路社区卫生服务站,117.249959,31.857104,淠河路,0551-65133575,综合医院
金谷医院,117.2564,31.882367,亳州路372号,0551-65605715,综合医院
合肥市包河区望江中路社区卫生服务中心科大花园社区卫生服务站,117.278077,31.819648,科大花园东苑西北门旁,,综合医院
安徽省人民政府机关医院,117.284367,31.859765,红星路90号,0551-62603011,综合医院
蜀山区琥珀街道社区卫生服务中心(老址),117.264082,31.866784,琥珀街道,0551-62835199,综合医院
海恒福禄园社区卫生服务站,117.259663,31.777427,海恒社区管理委员会合经区海恒步行街,,综合医院
四里河街道社区卫生服务中心,117.232596,31.890728,固镇路113号,0551-63816021;0551-63816120,综合医院
包公街道社区卫生服务中心,117.300332,31.846789,马鞍山路与南一环路辅路交叉口南140米,0551-64659896,综合医院
包公街道青年西区社区卫生服务站,117.291551,31.836457,宁国南路768号,0551-64662930,综合医院
庐阳区海棠街道社区卫生服务中心,117.272481,31.887195,都市清华C1号(郑河地铁站2号口步行440米),0551-65557768,综合医院
合肥市第一人民医院临床教学中心,117.273607,31.859436,三孝口永红路32号(三孝口地铁站5号口步行340米),0551-62307305;0551-62307308,综合医院
肥西县桃花工业园社区卫生服务中心,117.218386,31.764912,青龙潭路与金凤路交汇处,,综合医院
合肥高新区长宁社区卫生服务中心,117.13925,31.819461,文曲路复兴家园商业楼北楼,0551-69127346,综合医院
南七街道丁香汽修社区卫生服务站,117.247275,31.830275,望江西路159号华阳楼F1层,,综合医院
合肥光明老年护理医院,117.241838,31.855828,青阳路(五里墩地铁站A口步行470米),,综合医院
安徽医科大学第一附属医院柏堰院区,117.156114,31.801026,玉兰大道40号东区综合楼二号楼,,综合医院
中国科学院临床研究医院(合肥)(装修中),117.2509,31.813746,花亭湖路与茗香路交口东南50米,0551-66223177,综合医院
合肥市第一人民医院西区(暂停营业),117.211629,31.871939,环湖东路111号(西二环植物园路口),0551-62182803,综合医院
武警医院(南区)(暂停营业),117.277092,31.851878,金寨路276号(稻香楼地铁站A口步行310米),0551-62813355;0551-64637879,综合医院
合肥市淝河镇社区卫生服务中心,117.315845,31.810242,文德路与龙川路辅路交叉口西北60米,0551-64843376,综合医院
安徽医科大学第一附属医院高新院区,117.137131,31.846555,皖水路120号(汽车西站地铁站C口),0551-65908534;4001011130,综合医院
合肥建安中医院,117.318638,31.814696,北京路3508号(北京路与祁门路交口东北角),13696772961,综合医院
逍遥津街道社区卫生服务中心,117.287548,31.86672,合肥中医推拿医院东南门旁,0551-62115003;0551-62115011,综合医院
安徽建筑大学北校区校医院,117.252782,31.813804,金寨路856号安徽建筑工业学院,,综合医院
合肥包河区包公街道炳辉社区卫生服务站,117.287153,31.837544,徽州大道708号,15395059626,综合医院
合肥经济技术开发区锦绣方兴社区卫生服务站,117.208162,31.751995,青龙潭路171号,0551-63682198,综合医院
亳州路街道古城社区卫生服务站,117.255653,31.876797,云滨花园东1门东南80米,0551-5547953;0551-65547953,综合医院
岳西路医疗卫生服务站,117.224853,31.851485,岳西路与十里庙路交叉口南160米,,综合医院
三孝口街道大夫第社区卫生服务站,117.276725,31.867275,淮河路452号(杏花公园地铁站B口步行470米),0551-62839337,综合医院
包河区同安街道朱岗社区卫生服务站,117.300741,31.827256,力高·柏林春天北2门旁,15255463700,综合医院
安徽中医药大学第一附属医院内科大楼,117.259337,31.852742,三里庵街道梅山路117号安徽中医药大学第一附属医院内科大楼四楼重症监护室,,综合医院
首都医科大学附属北京安贞医院安徽医院,117.139113,31.846311,皖水路与文曲路交口,,综合医院
五里墩街道家家景园社区卫生服务站,117.233811,31.857179,淠河路111号,,综合医院
锦绣社区卫生服务中心,117.232196,31.741521,紫云路194-212、216,0551-63858779,综合医院
安徽中医药大学第一附属医院安徽省中医院双向转诊接诊处,117.261232,31.853802,梅山路与长江西路交叉口南280米,,综合医院
安徽医科大学第二附属医院爱婴医院,117.211599,31.790076,莲花社区芙蓉路678号安徽医科大学第二附属医院北四楼十四楼,,综合医院
小通社区医院,117.247799,31.846263,光明路与新庄路交叉口北220米,,综合医院
仁医星中医连锁(合肥总店),117.312225,31.826175,望江东路9号星隆广场3层(大润发超市旁),4009906792,综合医院
双岗街道高河埂社区卫生服务站,117.276935,31.874988,蒙城北路高河埂新村15栋,0551-65523283,综合医院
安徽中医药大学第一附属医院介入中心,117.260255,31.853405,三里庵街道梅山路117号安徽中医药大学第一附属医院综合楼介入中心,0551-62838580,综合医院
双岗街道小桥湾社区卫生服务站,117.28395,31.882869,双岗街道合瓦路61号,,综合医院
安徽省中医院行管楼,117.260012,31.852455,三里庵街道梅山路117号中医院门诊楼3楼,,综合医院
安徽医科大学第一附属医院临床研究医院,117.137911,31.84435,合肥市蜀山区皖水路 121 号,,综合医院
合肥东南中医院,117.265399,31.747457,紫蓬路与清潭路交叉口向西100米,0551-62103766;0551-63828966;13339195719;13966763188,综合医院
合肥瑶海板桥医院,117.291411,31.881457,新蚌埠路9号,15056667701,综合医院
安徽中医药大学第一附属医院丹溪楼,117.259289,31.853147,梅山路117号安徽中医药大学第一附属医院,,综合医院
合肥市第二人民医院和平路院区,117.318423,31.856642,和平路246号,0551-62203666,综合医院
合肥高新区南岗社区卫生服务中心,117.136538,31.854793,磨子潭路120号(汽车西站地铁站1号口步行400米),0551-65393281,综合医院
合肥中医推拿医院,117.287421,31.866674,逍遥津街道寿春路寿春五巷,0551-62640401,综合医院
锦绣天都社区卫生服务站,117.23163,31.745326,蜀山经济技术开发区莲花路1851号,0551-63810828,综合医院
安徽中医药大学第一附属医院检验中心,117.260825,31.854125,梅山路117号安徽中医药大学第一附属医院,,综合医院
合肥龙华医院,117.278953,31.883345,蒙城北路(海棠地铁站C2口步行370米),0551-65627608,综合医院
安徽三联学院南区校医院,117.196751,31.751937,安徽三联学院南区,0551-63830776,综合医院
合肥高新区杨林社区卫生服务站,117.142235,31.848136,百草街C号1-2号!,0551-66116526,综合医院
安徽庐州医院四季青分院,117.212963,31.894706,西二环路108号,,综合医院
同安街道分路口社区卫生服务站,117.310397,31.8411,文昌新村B区西北门旁,0551-64679969,综合医院
胜利明光街道社区卫生服务中心,117.303196,31.866988,滁州路288号(明光路地铁站B口步行280米),0551-64291665;0551-64295747,综合医院
包公街道河滨社区卫生服务站,117.30435,31.859353,巢湖路与芜湖路交叉口西50米,0551-62873517,综合医院
庐阳区大杨镇社区卫生服务中心,117.227547,31.904916,四里河路中铁国际城品园西北角,0551-65713126,综合医院
安徽医科大学第一附属医院高新院区医技楼,117.137243,31.846522,皖水路120号安徽医科大学第一附属医院高新院区,,综合医院
合肥东南中医院,117.231675,31.743175,莲花路37栋,18355719578,综合医院
瑶海区城东街道社区卫生服务中心,117.318159,31.850979,瑶海区裕溪路与铜陵路交叉口政裕大厦,0551-64471868;0551-64483504,综合医院
庐阳区杏林街道社区卫生服务中心,117.287569,31.88841,杏林街道阜阳北路与临泉路交口向北100米,0551-65601571,综合医院
琥珀社区医疗服务中心,117.264875,31.863432,琥珀南村42幢,,综合医院
同安街道王大郢社区卫生服务站,117.314744,31.835884,王大郢家园沁苑S4-110,0551-64668858;13966691725,综合医院
合肥博极医院,117.215614,31.899856,大杨镇清源路海亮兰郡商业街S1栋整栋,15395087098,综合医院
大杨镇夹塘社区卫生服务站,117.242599,31.893008,紫桐新村AB区南门西60米,,综合医院
同安街道周谷堆社区卫生服务站,117.30513,31.844377,海达小区东北门东南250米,,综合医院
瑶海区胜利明光街道社区卫生服务,117.303482,31.867083,滁州路288号(明光路地铁站2号口步行280米),0551-64292023,综合医院
瑶海区胜利路街道社区卫生服务中心,117.299826,31.878312,合铁家园1号楼,0551-64272257,综合医院
繁华新园社区卫生服务站,117.169565,31.77805,繁华新园长古路北门东70米,,综合医院
工会驿站(清溪路与肥西路交口社区卫生服务站),117.255575,31.870525,国轩苑东区,,综合医院
海棠街道清华社区卫生服务站,117.275046,31.887158,芙蓉苑南村南门西80米(海棠地铁站6号口步行250米),,综合医院
安徽医科大学第一附属医院绩溪路院区新外科大楼,117.268626,31.846101,绩溪路72号,,综合医院
合肥锐迈医院(建设中),117.28875,31.80765,庐州大道与祁门路辅路交叉口南100米,,综合医院
合肥建安中医院精神心理研究中心,117.318961,31.814318,北京路3508号,19155121101,综合医院
科学家园医疗卫生服务站,117.172012,31.864105,科学家园西南1门旁,,综合医院
安徽省中医院-急诊科儿科病区,117.261112,31.853875,梅山路117号安徽省中医院,0551-62838503,综合医院
合肥市包河区骆岗街道社区卫生服务中心,117.327223,31.799195,哈尔滨路水丽坊自在城北区,0551-63358102,综合医院
安徽医科大学第一附属医院南区,117.170293,31.745298,翡翠路与云谷路交汇东北,0551-63236166;0551-63236118,综合医院
双岗街道虹桥社区卫生服务站,117.291386,31.875779,栌桥路80号,0551-65660869,综合医院
稻香村街道合力社区卫生服务站,117.260973,31.832316,洪岗支巷与太湖路交叉口西南140米,,综合医院
杏林街道上城社区卫生服务站,117.279087,31.89047,合瓦路与凤台路交口杏林街道,13866132660,综合医院
陈村路医疗卫生服务站,117.237325,31.853725,半店路与长江西路辅路交叉口东北260米,,综合医院
安徽省第二人民医院临淮路院区,117.310981,31.869804,三里街临淮路1号(三里街地铁站D口步行350米),0551-64237922,综合医院
合肥市中医院,117.333651,31.814341,龙川路99号,0551-63682891;0551-68998120,综合医院
合肥市第一人民医院滨湖院区,117.289054,31.739214,滨湖新区长沙路3200号,0551-82137015,综合医院
稻香村街道黄山路社区卫生服务站,117.266182,31.840903,金寨路与黄山路交叉口西260米,,综合医院
安徽省第二人民医院主院区,117.306093,31.896048,北二环砀山路1868号,0551-64272019;0551-64272108;0551-64286033,综合医院
合肥光华医院,117.294404,31.879824,濉溪东路257号,,综合医院
庐阳区杏花村街道社区卫生服务中心,117.262297,31.90025,北二环路201号北二环路与淮北路交口东北角,0551-65555508,综合医院
合肥贝叶中西医结合医院,117.29212,31.882243,嘉山路与新蚌埠路交叉口北120米,,综合医院
合肥大学校医院,117.25085,31.753174,合肥经开区锦绣大道99号合肥大学,,综合医院
安徽省妇女儿童医学中心东区,117.339495,31.849296,裕溪路红旗建材市场斜对面,0551-69118599,综合医院
安徽庐州医院分院,117.213075,31.894725,董铺路辅路与瓦埠湖路交叉口北260米,,综合医院
安徽省中医院制剂中心,117.259252,31.853651,三里庵街道梅山路117号安徽省中医院,,综合医院
合肥市第二人民医院广德路院区,117.362339,31.853976,广德路与乐水路交口,0551-62965102;0551-62965470,综合医院
望湖街道朱岗社区卫生服务站,117.293473,31.831876,太湖路与太湖东路交叉口东南60米,0551-3334151;0551-3423973,综合医院
双岗街道绿都花园社区卫生服务站,117.289024,31.883585,双岗街道阜阳北路绿都花园小区3栋,0551-65530385,综合医院
中心卫生院大柳塘社区卫生服务站,117.218458,31.764912,仙女路与青龙潭路交叉口东60米,,综合医院
骆岗街道观音庙社区卫生服务站,117.320114,31.795453,包河苑B区西南门南170米,,综合医院
合肥同行康复医院,117.329465,31.87369,铜陵路街道定远路88号,,综合医院
铜陵路街道社区卫生服务中心,117.325122,31.867305,长江东路721号(东五里井地铁站C口步行140米),,综合医院
包河区烟墩街道社区卫生服务中心,117.270937,31.720072,滨湖桂园北区东2门西南410米,0551-63899717,综合医院
合肥新港医院,117.184937,31.734939,经济技术开发区新港工业园紫石路与肥光路交口滨河小区一期商业楼二楼西侧,18556556011,综合医院
红光街道卫生服务中心,117.34871,31.84376,裕溪路559号,0551-64528535;13485690493,综合医院
城东街道大王庙社区卫生服务站,117.319651,31.850423,裕溪路1477号(裕溪路隆庭佳苑北大门西侧17幢103号),0551-64421293,综合医院
临湖社区卫生服务中心,117.245114,31.709555,玉屏南路,,综合医院
肥西华阳医院,117.156862,31.728805,上派镇三河路与翡翠路交口汽车配件市场2-1号楼(西南国际车城),0551-69012120,综合医院
滨湖世纪社区卫生服务中心,117.296059,31.736753,长沙路与天山路交口西南角(社区卫生服务中心一楼),,综合医院
新站高新区七里塘社区卫生服务中心,117.316234,31.901801,新海大道与符离路交口向南80米,0551-64281850,综合医院
瑶海区方庙街道社区卫生服务中心,117.347248,31.879078,荷塘家园二期菜市场北50米,0551-64288064,综合医院
三里街街道社区卫生服务中心,117.317946,31.867179,长江东路855号(三里街地铁站B口步行370米),0551-64253981,综合医院
中国科学技术大学附属第一医院安徽省立医院滨湖医疗保健中心,117.324272,31.737119,徽富路与迎淮路交口,0551-62609508;0551-62609552,综合医院
望湖街道王大郢医务室,117.315224,31.838791,王大郢新村A区西南1门西北50米,,综合医院
肥西县中医院(新区),117.177494,31.700116,站前路与青龙路交叉口东北部,0551-68843121,综合医院
包河区方兴社区医院,117.310476,31.742779,方兴社区服务中心东门旁,0551-62921697,综合医院
和平路街道社区卫生服务中心,117.326054,31.855059,和平路与肥东路交叉口西北40米,0551-64497105,综合医院
庐阳区林店街道社区卫生服务中心,117.272302,31.91229,永幸河路与丽水路交口西南角,0551-62307072,综合医院
长淮街道社区卫生中心,117.312293,31.881395,淮枫路与胜利路交口向西150米,0551-62626519,综合医院
合肥高新区长宁社区永和卫生服务站,117.118674,31.847678,合肥高新区永和家园小区西门向东200米,,综合医院
双岗街道虹桥老街社区卫生服务站,117.288428,31.878875,双岗老街五巷与双岗老街交叉口西北20米,,综合医院
安徽静安中西医结合医院,117.37718,31.855564,龙岗路101号,0551-64328888;17764404685,综合医院
瑶海区七里站街道社区卫生服务中心,117.342255,31.867386,长江东路441号(东七里地铁站C口步行300米),,综合医院
瑶海区嘉山路街道社区卫生服务中心,117.293791,31.892829,元一名城C区北门东北70米,0551-64220225,综合医院
合肥佰惠医院,117.27523,31.935931,阜阳北路与天水路交叉口,0551-69116938,综合医院
城西桥社区卫生服务中心,117.081612,31.827475,望江西路988号,0551-62676120,综合医院
合肥康恒中西医结合医院,117.245074,31.711054,玉屏南路102号,0551-65666068,综合医院
合肥康中医院,117.342994,31.890884,当涂北路与皇藏峪路交汇处北,17355194139,综合医院
合肥长兴康复医院,117.35181,31.894199,新海大道与灵石路交汇处附近,0551-64389499,综合医院
小通社区医院,117.161639,31.80797,合肥昌河车城小区西区同乐门西南210米,,综合医院
岗集中心卫生院,117.186831,31.946338,岗集镇合淮公路第五人民医院,0551-66773719,综合医院
合肥庐州医院,117.262042,31.950645,东方大道1500号A4号,0551-66899199,综合医院
明光路街道填海巷社区卫生服务站,117.309474,31.865192,长江东路群力新村,0551-64477279,综合医院
安徽新安中西医结合医院,117.335651,31.899147,新站开发区新海大道898号,0551-65956117,综合医院
上海交通大学医学院附属仁济医院安徽医院,117.306618,31.89989,萧城路与扶疏路交叉口南100米,,综合医院
仁德医院,117.358442,31.881315,明皇路与文忠路辅路交叉口西北60米,0551-67880886,综合医院
顺和社区卫生服务站,117.143874,31.768427,迎江寺路与方兴大道交叉口北120米,,综合医院
合肥市第四人民医院,117.263342,31.843824,黄山路316号,0551-63616310;0551-63666903,专科医院
安徽省胸科医院,117.260949,31.844251,绩溪路397号,0551-63633507,专科医院
安徽省儿童医院本院,117.280216,31.82701,芜湖路街道望江东路39号,0551-62237114;0551-62237178;0551.62237174,专科医院
合肥民众医院,117.214558,31.861758,环湖东路第47号(鑫达综合楼旁),0551-68112780,专科医院
安徽省眼科医院,117.27386,31.840706,黄山路199号(宿松路交叉口),0551-63672548,专科医院
中国科学技术大学附属第一医院(西区),117.211754,31.870949,环湖东路107号,0551-65327751;0551-65327766;0551-65327777,专科医院
合肥阳光消化病医院(包河院区),117.286755,31.814734,东流路34-1号,18949890124,专科医院
合肥友好医院,117.285017,31.836805,徽州大道693号,15385885832,专科医院
安徽省妇女儿童医学中心,117.281171,31.860075,益民街15号,0551-69118122,专科医院
合肥天佑白癜风中医院,117.301232,31.845037,香榭里花园西门北60米,0551-65653120,专科医院
肥西县第二人民医院,117.169991,31.747599,上派镇天海西路,,专科医院
合肥中山医院,117.314407,31.873593,三里街街道凤阳路8号1楼,15656936591,专科医院
合肥康安中医医院,117.302234,31.880757,濉溪东路6号,0551-65896120,专科医院
庐江县鲍井社区卫生服务站,117.29729,31.251831,庐城镇鲍井社区西门庐白路南段57号,13865217560;13865222901,专科医院
笔架山街道社区卫生服务中心口腔中心,117.219356,31.823706,长河西路与聚云峰路西北角,,诊所
凯旋门医疗卫生服务站,117.232108,31.80121,潜山路华润凯旋门9栋商铺三楼,,诊所
蜀山区南七街道社区卫生服务中心庙岗路医疗卫生服务站,117.226908,31.829714,华邦·光明世家北1门旁,,诊所
合肥长淮中医医院-中医门诊·痛症·针灸推拿,117.268278,31.84138,金寨路与黄山路交叉口西南60米,,诊所
中航工业江航公司航鑫家苑卫生所,117.240048,31.829573,望江西路205号,0551-65637225,诊所
合肥白领安琪儿综合医院,117.282019,31.879901,濉溪路118号1幢,18119672505,诊所
合肥工业大学翡翠湖校区医院,117.204041,31.773117,芙蓉社区管理委员会翡翠路420号,0551-63831030;0551-63831120,诊所
合肥工业大学屯溪路校区校医院,117.298687,31.843383,合肥工业大学综合服务楼西门东140米,0551-62901316,诊所
望湖城社区卫生服务中心-预防接种门诊,117.296813,31.806279,望湖中路和望湖西路交叉口东南角,0551-62283437,诊所
丹霞社区卫生服务站,117.218194,31.775507,石门路小区西门东50米,,诊所
新年社区卫生服务站-狂犬病暴露处置门诊,117.267097,31.746539,经济技术开发区紫蓬路与清潭路交叉口西北角圣科置业大院内,0551-63889120,诊所
合经区临湖新年社区卫生服务站,117.26695,31.74633,紫蓬路与清潭路交口圣科置业院内,0551-63889120,诊所
合肥经济技术开发区柳芝秀卫生所,117.23043,31.743768,天门湖花园12栋106号,13855123239,诊所
山湖苑卫生站,117.170226,31.857357,甘泉新村西区南门旁,,诊所
建平实验小学南艳校区本部卫生室,117.270875,31.765525,海恒街与慈光路交叉口西北60米,,诊所
省工业设备安装公司卫生所,117.287125,31.837625,鱼水路与军民路交叉口西北160米,,诊所
卓然社区卫生站,117.153394,31.872799,悠然居东4门旁,,诊所
桃花卫生站,117.258292,31.901336,四里河街道北二环桃花社区大三景西区八栋,13966790650,诊所
丁家巷卫生厅,117.281925,31.860125,益民街与新华巷交叉口南60米,,诊所
合肥永康综合门诊,117.297389,31.746773,天山路与万泉河路交口东南角,18949815683,诊所
庐阳区三十岗乡三岗村卫生室,117.126064,31.926308,三十岗乡合三国城路198号庐阳区三十岗生态农业旅游区内(南侧),0551-65711469,诊所
紫蓬镇卫生院泗洲卫生室,117.113722,31.779618,凌云路东100米,13053088038,诊所
庐阳区大杨镇十张村卫生室,117.205908,31.926981,庐阳区大杨镇十张村村委会一楼1,13866792215,诊所
淝河镇卫乡村卫生站,117.342911,31.828351,李城路与巢湖南路交叉口南40米,,诊所
菱店诊所,117.276366,31.913378,太和路西20米(菱湖公园地铁站B口步行390米),0551-65186028,诊所
